,User_Id,Post_Description,likes,comments,labels,eng_score,engagement_score
10,Photos by @tasneemalsultan ," I recently attended the WWE's wrestling show in Saudi Arabia, the Crown Jewel Event in Riyadh, with many other women. I do not consider myself a fan just yet, but I will admit that it was a fun experience- the glitter pants were an added bonus. #riyadh #saudiarabia #WWE #crownjewel",106509,398,"['red', 'green', 'fun', 'magenta', 'art']",0.029945533162950434,Low
11,Photo by George Steinmetz @geosteinmetz ," Epic flying last week over the Pyramids of Giza.  I had tried for years, and was turned down even with Egyptian military helicopters.  Last week Egypt hosted the world paramotor championships, and suddenly the impossible happened.  This is me, the last one to land at sunset. For a rare view of the pyramids from above, go to @geosteinmetz",170640,528,"['air sports', 'paragliding', 'sand', 'landscape', 'ecoregion', 'desert', 'windsports', 'steppe', 'sahara', 'powered paragliding']",0.04734747441500911,Low
12,Photo by @irablockphoto ," A nighttime view from the top of the Old Town Bridge Tower of the Charles Bridge and Prague Castle along the banks of the Vltava River in Prague, Czech Republic. The Charles Bridge was constructed under King Charles IV of Bohemia starting in 1357 and was finished in the begging of the 15th century. The bridge is a very popular tourist destination especially at sunset and early evening when the city lights up. Prague Castle dates back to the ninth century and is still in use today - as the office of the president of the Czech Republic. It is rumored to be the largest ancient castle in the world, occupying 750,00 square feet (70,000 square meters) and housing St Vitus Cathedral. #followme @irablockphoto to see more images from the world.---#praguecastle #vltavariver #prague #czechrepublic #charlesbridge #kingcharlesIV #praguecatle",369737,2381,"['city', 'waterway', 'reflection', 'cityscape', 'sky', 'landmark', 'town', 'river', 'evening', 'tourist attraction']",0.10968485572285763,High
13,Photo by Michael Yamashita @yamashitaphoto ," High above the western Himalayas, meaning ÂÃÃ·abode of snowÂÃÂª in Sanskrit, this massive mountain range contains some of the highest peaks on earth. It covers around 1,500 miles through the nations of India, Pakistan, Afghanistan, China, Bhutan, and Nepal.  #himalayanmountains #himalayas #snowcovered",487298,1059,"['mountain range', 'nunatak', 'mountainous landforms', 'massif', 'aerial photography', 'geological phenomenon', 'ridge', 'arÂte', 'glacial landform', 'sky']",0.13263659233175826,High
14,Photo by @PaulNicklen ," ItÂÃÂªs difficult to express what it is like to be in the company of an orca. I watch as it glides effortlessly through the blue ocean waters, and I feel totally at peace with this animal. But in this moment, thereÂÃÂªs not only one orca, there are many. A family on the hunt. Orcas have become one of the most demonized marine animals, and I am always trying to steer people away from this impression by capturing the beauty and intelligence of these complex cetaceans. Right now, I am back in Norway to shine a light on the importance of this keystone species and its associated ecosystem. #FollowMe at @PaulNicklen for photos from this expedition. #Norway #orcas #nature #ocean",508556,1818,"['marine mammal', 'water', 'marine biology', 'whales dolphins and porpoises', 'dolphin', 'killer whale', 'underwater', 'organism', 'spinner dolphin', 'short beaked common dolphin']",0.1425107099594529,High
15,Photo by @TimLaman ," This is the third highest peak on the worldÂÃÂªs second biggest island?  Know where this is? The island is New Guinea, a rugged, mountainous, rain forest covered island, second biggest in the world after Greenland and the biggest tropical island, and split between the countries of Papua New Guinea in the east, and the western half which is part of Indonesia, including the provinces of Papua and West Papua.  The peak is Peak Trikora, 4730 meters (15,580 ft) tall, and only a little less than Carstenz Pyramid, the highest peak on the island at 4884 meters (16023 ft), both of which are in the Indonesian half of the island.  Most people have no idea there are such big mountains on New Guinea so close to the equatorÂÃ_ the range of habitats created from the tropical lowlands to the alpine zone contributes to the incredible biodiversity of New Guinea.  #NewGuinea #Papua.  See more from this remote part of #Indonesia by following @TimLaman",288986,479,"['highland', 'mountain', 'sky', 'mountainous landforms', 'fell', 'ridge', 'hill', 'escarpment', 'atmosphere', 'terrain']",0.07780380200469492,Low
16,Photo by @michaelchristopherbrown ," Thousands of Jews visited the Cave of the Patriarchs, known to Muslims as the Ibrahimi Mosque, in the West Bank city of Hebron on September 25, during the Jewish holiday of Sukkot. Revered by both Jews and Muslims, the site is believed to be the oldest continuously used intact prayer structure in the world, containing the burial sites of the Patriarchs and Matriarchs of the Jewish People. The Arabic name of the complex reflects the prominence given to Abraham, revered by Muslims as a Quranic prophet and a patriarch through Ishmael. After the 1994 massacre of 29 Palestinian worshippers inside the mosque by Baruch Goldstein, an American-Israeli physician and religious extremist, Israeli authorities divided the mosque complex between Jewish and Muslim worshippers. Hebron is home to roughly 150,000 Palestinian Muslims and 700 Jewish settlers, the latter  living in a series of Jewish-only enclaves guarded by Israeli troops.",256309,3524,"['black and white', 'infrastructure', 'monochrome photography', 'photography', 'street', 'crowd', 'monochrome', 'temple', 'religion']",0.08677998772863996,Low
17,Photo by @nicholesobecki ," On a continent where natural resources have driven generations of boom and bust, Angola has a remarkable and frightening distinction. It is more dependent on commodity exports than just about any other nation in sub-Saharan Africa. Angola has long been repressive of independent journalists, and the opportunity to work there in 2016 was a rare chance to see the impact of the tremendous inequality that exists, from the glass skyscrapers soaring above the capital, Luanda, to this neighborhood overlooking Cabinda, a heavily guarded territory that accounts for half the oil output from the continentÂÃÂªs top petroleum producer. #oil #resourcecurse #angola #nicholesobecki",166891,314,"['urban area', 'city', 'tree', 'town', 'historic site', 'residential area', 'village', 'sky', 'neighbourhood', 'hill station']",0.045146468819652924,Low
18,Photo by @simoncroberts ," Visitors to the Ttukseom Hangang Park, an urban green space in Seoul, sit in the shade of a motorway overpass. Hangang, also known as the Han River, is the main body of water that runs through the middle of the capital city of South Korea. As in many cities, urban planners in Seoul have realized the significance of parks and green spaces to help combat issues of air pollution, improve public health, and to meet demands for increased leisure time.Follow @simoncroberts to see more photographs from this series and other works. #SimonRoberts #TtukseomPark #Hangang #SouthKorea #Seoul #urbanlandscapes  #urbanparks",166875,591,"['plant', 'structure', 'tree', 'recreation', 'leisure', 'park', 'city', 'tourist attraction', 'vehicle', 'crowd']",0.046730919614162425,Low
19,Photo by Charlie Hamilton James @chamiltonjames ," A lone male elephant reaches for fresh leaves in the branches in Gorongosa National Park, Mozambique, last week. We all know about the threats facing elephants and their decline in many parks across Africa. But in Gorongosa, elephant numbers are recovering. Years of civil war wiped out much of the park's wildlife, and poaching persisted until recently. However, increased security and investment into the park and the people who live in and around it have brought life back and now the park is thriving again. The story of Gorongosa will be featured in @natgeo magazine next year.",314465,1260,"['ecosystem', 'vegetation', 'tree', 'nature reserve', 'wilderness', 'wildlife', 'shrubland', 'fauna', 'woodland', 'forest']",0.08890038725616527,High
20,Photo by Robbie Shone @shonephoto ," 5 a.m. on the first morning on Wegener HalvÃÃ¼ peninsula as sea fog rolls in over Nathorst Fjord. We continued our watches on land in 2.5-hour shifts, mostly observing musk oxex, though looking out for bigger furry white creatures too. It was a great opportunity for me to take photographs, though my partners were less enthusiastic at being awake in the middle of the night. Chris is seen here starting his watch, wandering off toward the cook/food tent to see what may be approaching in the midst. #EAGRE18 @greenland_caves",232449,370,"['sky', 'horizon', 'sea', 'calm', 'loch', 'morning', 'dawn', 'highland', 'atmosphere', 'sunrise']",0.06249464375820708,Low
21,Photo by Muhammed Muheisen @mmuheisen ," Meral, a 9-year-old Afghan refugee girl who dreams of becoming a queen. I portrayed Meral on November 5, 2018, in a camp north of Athens. For more photos and videos of the refugee crisis, follow me @mmuheisen @everydayrefugees and @mmuheisenpublic #muhammedmuheisen #everydayrefugees",458909,2110,"['beauty', 'human hair color', 'girl', 'hairstyle', 'eye', 'brown hair', 'long hair', 'black hair', 'model', 'portrait']",0.13129080435483614,High
22,Photo by @BrianSkerry ," A young harbor seal peeks at me over a mound of surf grass at Cortes Banks, a range of underwater mountains located 100 miles off the coast of San Diego, CA. This location, well known for stormy weather and giant waves, is a hotspot of biodiversity with an abundance of marine life found here. Places like this are oases of life in the sea, where each animal plays a role. Yet such places could easily be destroyed by a single fishing trawl net being dragged through it or by undersea drilling, and few would ever know it existed. Naturalist John Muir once said, """"When one tugs at a single thing in nature, he finds it attached to the rest of the world.ÂÃÂ Throughout my career of exploring our planet and especially the oceans, I have found this to be true: Everything is connected and every creature matters.Follow @BrianSkerry and visit the undersea world!#cortesbanks #johnmuir #california #marineprotection #seals #harborseal #seamounts",577753,2106,"['ecosystem', 'green', 'underwater', 'marine biology', 'fauna', 'organism', 'fish', 'seaweed', 'algae', 'water']",0.162134551548476,High
23,Photo by George Steinmetz @geosteinmetz ," Harvesting #cranberries on the bogs of the Gaynor Cranberry Farm. They flood them in late October and then rake the bogs with a buggy to float the berries to the surface. Some 97% of the berries will end up as dried craisins. #OceanSpray is a grower-owned co-op, where each member gets profit dividends according to the number of barrels delivered. The Dempzes have owned this farm for four generations, and helped me get off the ground by fixing the carburetor on my motorized paraglider! Farmers know how to fix stuff!To see more follow @geosteinmetz",266825,640,"['red', 'field', 'wood', 'line', 'sky', 'wood stain', 'ecoregion', 'angle', 'carpet', 'landscape']",0.07297139105102954,Low
24,Photo by @TimLaman ," A Buffy Fish Owl triggers my camera trap on a natural treefall over a river in BorneoÂÃÂªs Gunung Palung National Park. I currently have a set of camera traps operating in a remote part of this spectacular lowland rain forest for my latest @NatGeo Society project. Why? Gunung Palung has one of the best remaining lowland rain forests in all of Borneo, and I want to tell the story of the richness of the biodiversity there, especially the species few people get to see. IÂÃÂªm going out to Indonesia every few months, but in between, my team members from @saveGPorangutans and #TamanNasionalGunungPalung are monitoring my cameras and sending exciting reports from time to time about what we are getting. If you are curious about all of the equipment I use to get these shots, please take a look @TimLaman where I have shared a series of behind-the-scenes shots.  #cameratrap #owl #Indonesia #GunungPalung #Borneo",231127,650,"['fauna', 'bird', 'beak', 'wildlife', 'wood', 'organism', 'darkness', 'tree']",0.06375709960121935,Low
25,Photo by @edkashi , Scene from the Tarantsy River in Madagascar. Image made as part of the 2010 @Prix_Pictet Commission. Photo by @edkashi #edkashi #Madagascar #PrixPictet #fromthearchives #tbt #travel #onassignment #environment #sustainability #azafady,295194,669,"['reflection', 'water', 'sky', 'cattle like mammal', 'wildlife', 'tree', 'landscape', 'rock', 'bank', 'plant']",0.08050582892904115,Low
26,Photo by @PaulNicklen ," Every single dive is a different experience, and I am driven by the adrenaline that comes with exploring the mystery of our oceans. My encounter with this male orca in Norway was a highlight of my career. He swam within mere inches of me and kept disappearing into the dark water before racing toward me and faking me out again and again. He playfully reacted when I jerked my head back during one of his passes. I live for these kinds of interactions. To experience the personality and charisma of an apex predator on their terms. My team and I are back in Norway to continue where we left off in 2016, photographing these beautiful creatures. It is a privilege to share the water with them, and I hope to return with images and stories that will inspire and give justice to this species and their ecosystem. #FollowMe at @PaulNicklen for more photos of orcas and to follow along with this exciting expedition. #Norway #orca #ocean #underwaterphotography",390625,1346,"['water', 'marine mammal', 'marine biology', 'whales dolphins and porpoises', 'fin', 'azure', 'organism', 'underwater', 'whale', 'dolphin']",0.10917421158474888,High
27,Photo by Muhammed Muheisen @mmuheisen ," Kasumi doesnÂÃÂªt want her hair to be brushed. I was on the worldÂÃÂªs only floating animal sanctuary while on assignment for @natgeo in Amsterdam. De Poezenboot, which is Dutch for ÂÃÃthe CatboatÂÃÂ hosts around 50 stray and abandoned cats, 17 of which are permanent residents that have lived on the boat for several years. For more photos and videos from different parts of the world, follow me @mmuheisen and @mmuheisenpublic #muhammedmuheisen",223082,1582,"['cat', 'small to medium sized cats', 'cat like mammal', 'whiskers', 'kitten', 'fur', 'carnivoran']",0.0670126750577224,Low
28,Photo by Federico Rios @historiassencillas ," Two brothers rest together inside a crowded shelter for indigenous migrants constructed by the United Nations. Here the Warao can tie their hammocks. Within days of the shelterÂÃÂªs construction, more than 700 refugees arrived to occupy the space. Many spent days traversing Venezuela from north to south, finally reaching the border with Brazil. See more @historiasencillas and in the November issue of National Geographic Magazine. #refugees #Brazil #Venezuela",193227,478,"['hammock', 'leisure', 'fun', 'vacation', 'recreation']",0.052927117528039865,Low
29,Photo by @pedromcbride ," First Snow: There is nothing like the dance of the seasons. A grove of golden aspen trees is blanketed by an early fall dusting. To see more, follow @pedromcbride #fall #snow #nature #color #silence",335365,621,"['vegetation', 'wilderness', 'geological phenomenon', 'wildflower', 'winter', 'sky', 'frost', 'morning', 'geology', 'tundra']",0.09066393608698034,High
30,Photo by @ladzinski ," Relics from a century ago, whale bones decorate the pebbly shores on a remote island in the #Antarctic Peninsula, a haunting reminder of the excessive hunting during the whaling years. Walking around the iceless scene here was equally as shocking to me as I looked around at the evidence humans had left behind. The big melt, itÂÃÂªs happening. Photographed on assignment for @natgeo, please take the time to read the story in this month's issue written by @craigwelch to learn how deeply Antarctica is being affected. @sea_legacy @paulnicklen @cristinamittermeier @andy_mann",326206,614,"['rock', 'sky', 'badlands', 'geological phenomenon', 'mountain', 'formation', 'landscape', 'geology', 'national park', 'stock photography']",0.0882449749607587,High
31,Phone photo by @gabrielegalimbertiphoto ," Castiglion Fiorentino, Italy, my hometown. It's always nice to come here for a few days and spend time with family and friends after weeks of traveling while on assignment for National Geographic. Tuscany is a perfect place to recharge and prepare for the next project. #tuscany #italy #home #hill #hills #green #nature #fog #morninglight",292273,602,"['sky', 'cloud', 'mountainous landforms', 'highland', 'mountain', 'hill', 'hill station', 'tree', 'morning', 'rural area']",0.07936292618407674,Low
32,Photo by @renan_ozturk ," Figures on a landscape. One of the things I love about climbing is the community and inclusiveness within it. This is where it all started for me, and I was taken in by the tribe, and the place I come back to in order to check in and grow. This past trip was all about giving that back to others with new experiences like new desert crack climbers. In the spirit of our lost friends Micah, Dean, Bean, Stanley, Johnny, Hayden, we rage on, burning every moment of each day with wonder and gratitude. Follow @renan_ozturk for more images from the climbing life.",403073,800,"['rock', 'sky', 'badlands', 'geological phenomenon', 'mountain', 'formation', 'geology', 'landscape', 'terrain', 'national park']",0.10927592855480274,High
33,"Follow Aaron Huey @argonautphoto on assignment in the slot canyons of #EscalanteNationalMonument in Utah today. On his feed he will be showing sites that were recently removed or otherwise affected when the monument was shrunk by nearly 50 percent and split into three smaller units by executive order. The Zebra slots here (carved over thousands of years by water in red and white striped sandstone) were not removed, but the trail to get to them, and the larger buffer area around them, were removed. This opens the area for potential resource extraction in the future. Photo credit: Drew Ludwig Follow @argonautphoto in the coming days for other views and videos from these slots! (Note on access and climbing: The slot canyons of Escalante involve a great deal of climbing to get in and out, no surfaces were marked or damaged in this image or on this assignment, and climbing is not just allowed in all these slots, it's necessary to get out!)",,1176651,4762,"['wood', 'hardwood', 'wood stain']",0.33291524827658403,High
34,Photo by @TasneemAlsultan ," SheÂÃÂªd walk in to the tune of a majestic song curated especially for her. Sometimes earlier, but that still means it has to be after 9 p.m. After all, the ballroom must be full to the brim with her female guests, all to congratulate her and witness her regal entrance into the hall. #bride #weddings #marriage #riyadh #saudiarabia",299349,668,"['light', 'lighting', 'light fixture', 'darkness', 'column', 'night', 'wood', 'window', 'chapel', 'place of worship']",0.08157924879666638,Low
35,Photo by @simoncroberts ," The """"green"""" exterior of a store on Myeongdong street in Seoul, South Korea, decorated with more than 50,000 pots of plants. Myeongdong is Seoul's main shopping district, popular with young people and tourists. After the Korean War, the country's economy expanded rapidly, and so did the population of Seoul. Many department stores, shops, restaurants, and shopping centers set up businesses in the Myeongdong area to keep up with this increasing demand. It is now estimated that the floating population of the district is up to two million people a day, and in terms of floorspace rents, Myeongdong is one of the most expensive shopping areas in the world.Follow @simoncroberts to see more photographs from this series and other works. #SimonRoberts #Myeongdong #SouthKorea #Seoul #urbanlandscapes",162233,615,"['crowd', 'urban area', 'pedestrian', 'city', 'street', 'metropolitan area', 'neighbourhood', 'downtown', 'tree', 'metropolis']",0.045662919905930605,Low
36,Photo by George Steinmetz @geosteinmetz , The half moon rose around 11 p.m. while I slept out in the White Desert. The bedrock here is composed of soft white chalk that has been sculpted by strong winds into strange and beautiful shapes. So excited to be back in Egypt to do some paragliding. To see what I find follow @geosteinmetz,448273,1119,"['sky', 'desert', 'landscape', 'star', 'rock', 'atmosphere', 'aeolian landform', 'sand', 'formation', 'earth']",0.12284494983680408,High
37,Photo by @ismailferdous ," Tamina and Alex organize a house warming party on Reformation holiday in their new garden house in Kleingartenverein SchieÃÃstand e.v. in Hamburg. Their neighbor Bernd appears in the party with his Halloween costume.October 31 is the Reformation Day observed as a public holiday in seven states in Germany. It commemorates when German monk and theologian Martin LutherÂÃÂªs proposals were nailed on the doors of a church in 1517. This event was the start of religious and social changes in Europe. On this holiday, adults and children in Germany celebrate Halloween and Reformation Day at the same time. #ReformationDay #halloween #Germany #gardenhouse",214624,420,"['campfire', 'fire', 'bonfire', 'tradition', 'night', 'event', 'recreation', 'darkness', 'flame', 'ritual']",0.05815180826860711,Low
38,Photo by @dguttenfelder ," Mrs. Kotajima, age 100, Mrs. Uehara, 84, and Mrs. Shimizu, 92 share their elder care home with companion puppy and baby seal robots. The popular science fiction of many cultures depicts the rise of robots as an ominous threat. But the Japanese have long portrayed robots as friends and heroes and embrace humanoid robot technology. Increasingly, the Japanese are looking to robotic solutions for society's needs. On assignment for @natgeo in Tokyo.",290104,2187,"['room', 'play', 'furniture', 'child', 'toddler', 'toy']",0.08788962409181272,High
39,Photo by @nicholesobecki ," Chinese workers build the Doraleh Multipurpose Port, which will be the largest of eight ports in Djibouti and the site of China's first overseas military base. As the sun set over the Red Sea I watched as workers scrambled to construct this $590 million project, which is now complete. In DjiboutiÂÃÂªs capital, ChinaÂÃÂªs base is just a few kilometers from Camp Lemmonier, AmericaÂÃÂªs largest military outpost in Africa. Flanked by Yemen, Eritrea, Ethiopia and Somalia, Djibouti is viewed as a haven in the unstable Horn of Africa and hosts armed forces from around the world. #military #base #djibouti #china #nicholesobecki",115116,382,"['water', 'sky', 'reflection', 'screenshot', 'sea', 'night', 'recreation']",0.03208922047149549,Low
40,"Photo by Lynn Johnson @ljohnphoto // #sponsored by @bayerofficial // These are the women of Pink Steel. Every woman in this boat is a survivor of breast cancer. They are all agesÂÃÃfrom mid 20ÂÃÂªs to mid 70ÂÃÂªs. Younger women may contribute more physical power but elders hold the center with will, encouragement and guts. Aging in this group is a testament to survival. They never give up in the boat as they didnÂÃÂªt give up on their very lives and so are models for all who paddle. The women gather often to practice for competitionsÂÃÃtestimony to the healing energy of community. If one person hesitates, the cry goes up, ÂÃÃjust get in the boat.ÂÃÂ The boat is their rescue craft, the river in all its unpredictable patterns and currents, the challenge. Knowing the women in this boat was a privilege. I still remember the sheer power of each surge, a confirmation that labels of age and diagnosis are meaningless in the Pink Steel dragon boat. // The challenges of the future are being worked on right now. In celebration of #worldscienceday, explore some of the exciting ideas that are being developed to help build a better tomorrow. Visit natgeo.com/questionsforabetterlife.",,117747,600,"['outdoor recreation', 'personal protective equipment', 'recreation', 'fun', 'lifejacket', 'vehicle', 'personal flotation device', 'leisure', 'product', 'adventure']",0.03402279434486485,Low
41,"Photo by Joel Sartore @joelsartore // #sponsored by @bayerofficial // My grandmotherÂÃÂªs name was Faynell Meese. She grew up on a ranch near Darrouzett, Texas, proud and sure, a survivor of the Dust Bowl and the Depression and a thousand other insults over her 91-years, all of which thickened her hide. She told great stories, feared nobody, and drank Jack and Coke whenever she felt like it. She had two favorite sayings: ÂÃÃMarry in haste, repent at leisureÂÃÂ, and ÂÃÃWhen poverty walks in the door, love flies out the window.ÂÃÂ As a child, I thought IÂÃÂªd meet more people like her. I was wrong. // The challenges of the future are being worked on right now. In celebration of #worldscienceday, explore some of the exciting ideas that are being developed to help build a better tomorrow. Visit natgeo.com/questionsforabetterlife.",,127462,408,"['senior citizen', 'human', 'wrinkle', 'human behavior', 'portrait']",0.03544488906193841,Low
42,"Photo by Melissa Farlow @melissafarlow // #sponsored by @bayerofficial // Grit covered my glasses as I clutched the saddle horn determined to be as tough as the rancher I was following. As darkness fell, I could just make out Heidi Redd driving cattle into the night. Heidi ran a 5,000-acre ranch in Utah and was a respected, cattle boss, wrangler, chief cook and bottle washer, mother and public servant. At 77, Heidi is ""semi-retired,"" but works from a saddle and still connected to the land. Her son Matt runs ranch operations with The Nature Conservancy. Scientific research and environmental endeavors enhanced by HeidiÂÃÂªs years on the land help give insight to the past while studies on flora and fauna look to the future. // The challenges of the future are being worked on right now. In celebration of #worldscienceday, explore some of the exciting ideas that are being developed to help build a better tomorrow. Visit natgeo.com/questionsforabetterlife.",,215684,624,"['atmosphere', 'sky', 'darkness', 'landscape', 'smoke']",0.05959706452405548,Low
43,Photo by David Chancellor @chancellordavid ," Amur tiger, RussiaÂÃÂªs Far East - 95 percent of the global population is here. In 2005, the population consisted of 423 to 502 individuals, after having crashed in the 1940s to just 40 animals. By 2015, there were 540 of the tigers here. Anti-poaching efforts have been integral to the rise in tiger numbers, with tougher punishments for the illegal trafficking of endangered animals and their parts. Interestingly, and worryingly, a broad genetic sampling of 95 wild Russian tigers found markedly low genetic diversity. This lack of diversity is becoming an increasing problem across a multitude of species as populations crash, and are then brought back from the brink of extinction. A lack of genetic diversity increases the odds that a species will be vulnerable to disease, among other things. #notrade #noextinction- To see more of my work and projects follow me here @chancellordavid",949137,2601,"['tiger', 'wildlife', 'whiskers', 'mammal', 'snout', 'terrestrial animal', 'close up', 'fauna', 'big cats', 'eye']",0.26143088585200047,High
44,Photo by Stephen Alvarez @salvarezphoto ," The Moai of Rapa Nui (Easter Island) are some of the most iconic statues in the world. The heaviest erected statue weighs an astonishing 86 tons. Nine hundred of the statues were erected between 1250 and 1500 one an island that is barely 15 miles long. There are no other inhabited islands for nearly 2,000 miles in any direction. Sometime around 900 A.D., the founders of Rapa Nui set out from their home islands in Polynesia in open-decked sailing canoes. They not only found this incredibly remote land, but then, guided only by the stars and their knowledge of the ocean, they returned to their homeland, packed up all that they would need to begin a new existence on Rapa Nui, and set out to find the island once again.",868185,3016,"['sky', 'hill', 'grassland', 'cloud', 'highland', 'field', 'grass', 'rural area', 'landscape', 'mountain']",0.24278571775945818,High
