,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
10,10,0.0,0.20000000298023224,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area"," i recently attended the wwe's wrestling show in saudi arabia, the crown jewel event in riyadh, with many other women. i do not consider myself a fan just yet, but i will admit that it was a fun experience- the glitter pants were an added bonus. #riyadh #saudiarabia #wwe #crownjewel"
11,11,0.0,0.7321000099182129,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area"," epic flying last week over the pyramids of giza.  i had tried for years, and was turned down even with egyptian military helicopters.  last week egypt hosted the world paramotor championships, and suddenly the impossible happened.  this is me, the last one to land at sunset. for a rare view of the pyramids from above, go to @geosteinmetz"
12,12,1.0,0.7289000153541565,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," a nighttime view from the top of the old town bridge tower of the charles bridge and prague castle along the banks of the vltava river in prague, czech republic. the charles bridge was constructed under king charles iv of bohemia starting in 1357 and was finished in the begging of the 15th century. the bridge is a very popular tourist destination especially at sunset and early evening when the city lights up. prague castle dates back to the ninth century and is still in use today - as the office of the president of the czech republic. it is rumored to be the largest ancient castle in the world, occupying 750,00 square feet (70,000 square meters) and housing st vitus cathedral. #followme @irablockphoto to see more images from the world.---#praguecastle #vltavariver #prague #czechrepublic #charlesbridge #kingcharlesiv #praguecatle"
13,13,2.0,0.5291000008583069,"geolog, rock, mountain, phenomenon, human, girl, cloud, format, landscap, atmospher"," high above the western himalayas, meaning âãã·abode of snowâãâª in sanskrit, this massive mountain range contains some of the highest peaks on earth. it covers around 1,500 miles through the nations of india, pakistan, afghanistan, china, bhutan, and nepal.  #himalayanmountains #himalayas #snowcovered"
14,14,1.0,0.8389000296592712,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," itâãâªs difficult to express what it is like to be in the company of an orca. i watch as it glides effortlessly through the blue ocean waters, and i feel totally at peace with this animal. but in this moment, thereâãâªs not only one orca, there are many. a family on the hunt. orcas have become one of the most demonized marine animals, and i am always trying to steer people away from this impression by capturing the beauty and intelligence of these complex cetaceans. right now, i am back in norway to shine a light on the importance of this keystone species and its associated ecosystem. #followme at @paulnicklen for photos from this expedition. #norway #orcas #nature #ocean"
15,15,4.0,0.8651999831199646,"mountain, landform, area, wilder, ecosystem, highland, citi, grassland, natur, tree"," this is the third highest peak on the worldâãâªs second biggest island?  know where this is? the island is new guinea, a rugged, mountainous, rain forest covered island, second biggest in the world after greenland and the biggest tropical island, and split between the countries of papua new guinea in the east, and the western half which is part of indonesia, including the provinces of papua and west papua.  the peak is peak trikora, 4730 meters (15,580 ft) tall, and only a little less than carstenz pyramid, the highest peak on the island at 4884 meters (16023 ft), both of which are in the indonesian half of the island.  most people have no idea there are such big mountains on new guinea so close to the equatorâã_ the range of habitats created from the tropical lowlands to the alpine zone contributes to the incredible biodiversity of new guinea.  #newguinea #papua.  see more from this remote part of #indonesia by following @timlaman"
16,16,1.0,0.8392000198364258,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," thousands of jews visited the cave of the patriarchs, known to muslims as the ibrahimi mosque, in the west bank city of hebron on september 25, during the jewish holiday of sukkot. revered by both jews and muslims, the site is believed to be the oldest continuously used intact prayer structure in the world, containing the burial sites of the patriarchs and matriarchs of the jewish people. the arabic name of the complex reflects the prominence given to abraham, revered by muslims as a quranic prophet and a patriarch through ishmael. after the 1994 massacre of 29 palestinian worshippers inside the mosque by baruch goldstein, an american-israeli physician and religious extremist, israeli authorities divided the mosque complex between jewish and muslim worshippers. hebron is home to roughly 150,000 palestinian muslims and 700 jewish settlers, the latter  living in a series of jewish-only enclaves guarded by israeli troops."
17,17,4.0,0.8375999927520752,"mountain, landform, area, wilder, ecosystem, highland, citi, grassland, natur, tree"," on a continent where natural resources have driven generations of boom and bust, angola has a remarkable and frightening distinction. it is more dependent on commodity exports than just about any other nation in sub-saharan africa. angola has long been repressive of independent journalists, and the opportunity to work there in 2016 was a rare chance to see the impact of the tremendous inequality that exists, from the glass skyscrapers soaring above the capital, luanda, to this neighborhood overlooking cabinda, a heavily guarded territory that accounts for half the oil output from the continentâãâªs top petroleum producer. #oil #resourcecurse #angola #nicholesobecki"
18,18,0.0,0.5620999932289124,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area"," visitors to the ttukseom hangang park, an urban green space in seoul, sit in the shade of a motorway overpass. hangang, also known as the han river, is the main body of water that runs through the middle of the capital city of south korea. as in many cities, urban planners in seoul have realized the significance of parks and green spaces to help combat issues of air pollution, improve public health, and to meet demands for increased leisure time.follow @simoncroberts to see more photographs from this series and other works. #simonroberts #ttukseompark #hangang #southkorea #seoul #urbanlandscapes  #urbanparks"
19,19,3.0,0.9099000096321106,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass"," a lone male elephant reaches for fresh leaves in the branches in gorongosa national park, mozambique, last week. we all know about the threats facing elephants and their decline in many parks across africa. but in gorongosa, elephant numbers are recovering. years of civil war wiped out much of the park's wildlife, and poaching persisted until recently. however, increased security and investment into the park and the people who live in and around it have brought life back and now the park is thriving again. the story of gorongosa will be featured in @natgeo magazine next year."
20,20,2.0,0.5167999863624573,"geolog, rock, mountain, phenomenon, human, girl, cloud, format, landscap, atmospher"," 5 a.m. on the first morning on wegener halvãã¼ peninsula as sea fog rolls in over nathorst fjord. we continued our watches on land in 2.5-hour shifts, mostly observing musk oxex, though looking out for bigger furry white creatures too. it was a great opportunity for me to take photographs, though my partners were less enthusiastic at being awake in the middle of the night. chris is seen here starting his watch, wandering off toward the cook/food tent to see what may be approaching in the midst. #eagre18 @greenland_caves"
21,21,2.0,0.7976999878883362,"geolog, rock, mountain, phenomenon, human, girl, cloud, format, landscap, atmospher"," meral, a 9-year-old afghan refugee girl who dreams of becoming a queen. i portrayed meral on november 5, 2018, in a camp north of athens. for more photos and videos of the refugee crisis, follow me @mmuheisen @everydayrefugees and @mmuheisenpublic #muhammedmuheisen #everydayrefugees"
22,22,3.0,0.5235000252723694,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass"," a young harbor seal peeks at me over a mound of surf grass at cortes banks, a range of underwater mountains located 100 miles off the coast of san diego, ca. this location, well known for stormy weather and giant waves, is a hotspot of biodiversity with an abundance of marine life found here. places like this are oases of life in the sea, where each animal plays a role. yet such places could easily be destroyed by a single fishing trawl net being dragged through it or by undersea drilling, and few would ever know it existed. naturalist john muir once said, """"when one tugs at a single thing in nature, he finds it attached to the rest of the world.âãâ throughout my career of exploring our planet and especially the oceans, i have found this to be true: everything is connected and every creature matters.follow @brianskerry and visit the undersea world!#cortesbanks #johnmuir #california #marineprotection #seals #harborseal #seamounts"
23,23,0.0,0.7321000099182129,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area"," harvesting #cranberries on the bogs of the gaynor cranberry farm. they flood them in late october and then rake the bogs with a buggy to float the berries to the surface. some 97% of the berries will end up as dried craisins. #oceanspray is a grower-owned co-op, where each member gets profit dividends according to the number of barrels delivered. the dempzes have owned this farm for four generations, and helped me get off the ground by fixing the carburetor on my motorized paraglider! farmers know how to fix stuff!to see more follow @geosteinmetz"
24,24,1.0,0.896399974822998,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," a buffy fish owl triggers my camera trap on a natural treefall over a river in borneoâãâªs gunung palung national park. i currently have a set of camera traps operating in a remote part of this spectacular lowland rain forest for my latest @natgeo society project. why? gunung palung has one of the best remaining lowland rain forests in all of borneo, and i want to tell the story of the richness of the biodiversity there, especially the species few people get to see. iâãâªm going out to indonesia every few months, but in between, my team members from @savegporangutans and #tamannasionalgunungpalung are monitoring my cameras and sending exciting reports from time to time about what we are getting. if you are curious about all of the equipment i use to get these shots, please take a look @timlaman where i have shared a series of behind-the-scenes shots.  #cameratrap #owl #indonesia #gunungpalung #borneo"
25,25,3.0,0.7918000221252441,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass", scene from the tarantsy river in madagascar. image made as part of the 2010 @prix_pictet commission. photo by @edkashi #edkashi #madagascar #prixpictet #fromthearchives #tbt #travel #onassignment #environment #sustainability #azafady
26,26,1.0,0.7980999946594238,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," every single dive is a different experience, and i am driven by the adrenaline that comes with exploring the mystery of our oceans. my encounter with this male orca in norway was a highlight of my career. he swam within mere inches of me and kept disappearing into the dark water before racing toward me and faking me out again and again. he playfully reacted when i jerked my head back during one of his passes. i live for these kinds of interactions. to experience the personality and charisma of an apex predator on their terms. my team and i are back in norway to continue where we left off in 2016, photographing these beautiful creatures. it is a privilege to share the water with them, and i hope to return with images and stories that will inspire and give justice to this species and their ecosystem. #followme at @paulnicklen for more photos of orcas and to follow along with this exciting expedition. #norway #orca #ocean #underwaterphotography"
27,27,3.0,0.73089998960495,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass"," kasumi doesnâãâªt want her hair to be brushed. i was on the worldâãâªs only floating animal sanctuary while on assignment for @natgeo in amsterdam. de poezenboot, which is dutch for âããthe catboatâãâ hosts around 50 stray and abandoned cats, 17 of which are permanent residents that have lived on the boat for several years. for more photos and videos from different parts of the world, follow me @mmuheisen and @mmuheisenpublic #muhammedmuheisen"
28,28,2.0,0.5936999917030334,"geolog, rock, mountain, phenomenon, human, girl, cloud, format, landscap, atmospher"," two brothers rest together inside a crowded shelter for indigenous migrants constructed by the united nations. here the warao can tie their hammocks. within days of the shelterâãâªs construction, more than 700 refugees arrived to occupy the space. many spent days traversing venezuela from north to south, finally reaching the border with brazil. see more @historiasencillas and in the november issue of national geographic magazine. #refugees #brazil #venezuela"
29,29,2.0,0.8651999831199646,"geolog, rock, mountain, phenomenon, human, girl, cloud, format, landscap, atmospher"," first snow: there is nothing like the dance of the seasons. a grove of golden aspen trees is blanketed by an early fall dusting. to see more, follow @pedromcbride #fall #snow #nature #color #silence"
30,30,2.0,0.9096999764442444,"geolog, rock, mountain, phenomenon, human, girl, cloud, format, landscap, atmospher"," relics from a century ago, whale bones decorate the pebbly shores on a remote island in the #antarctic peninsula, a haunting reminder of the excessive hunting during the whaling years. walking around the iceless scene here was equally as shocking to me as i looked around at the evidence humans had left behind. the big melt, itâãâªs happening. photographed on assignment for @natgeo, please take the time to read the story in this month's issue written by @craigwelch to learn how deeply antarctica is being affected. @sea_legacy @paulnicklen @cristinamittermeier @andy_mann"
31,31,4.0,0.9100000262260437,"mountain, landform, area, wilder, ecosystem, highland, citi, grassland, natur, tree"," castiglion fiorentino, italy, my hometown. it's always nice to come here for a few days and spend time with family and friends after weeks of traveling while on assignment for national geographic. tuscany is a perfect place to recharge and prepare for the next project. #tuscany #italy #home #hill #hills #green #nature #fog #morninglight"
32,32,2.0,0.8995000123977661,"geolog, rock, mountain, phenomenon, human, girl, cloud, format, landscap, atmospher"," figures on a landscape. one of the things i love about climbing is the community and inclusiveness within it. this is where it all started for me, and i was taken in by the tribe, and the place i come back to in order to check in and grow. this past trip was all about giving that back to others with new experiences like new desert crack climbers. in the spirit of our lost friends micah, dean, bean, stanley, johnny, hayden, we rage on, burning every moment of each day with wonder and gratitude. follow @renan_ozturk for more images from the climbing life."
33,33,0.0,0.8664000034332275,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area",
34,34,4.0,0.8375999927520752,"mountain, landform, area, wilder, ecosystem, highland, citi, grassland, natur, tree"," sheâãâªd walk in to the tune of a majestic song curated especially for her. sometimes earlier, but that still means it has to be after 9 p.m. after all, the ballroom must be full to the brim with her female guests, all to congratulate her and witness her regal entrance into the hall. #bride #weddings #marriage #riyadh #saudiarabia"
35,35,2.0,0.8650000095367432,"geolog, rock, mountain, phenomenon, human, girl, cloud, format, landscap, atmospher"," the """"green"""" exterior of a store on myeongdong street in seoul, south korea, decorated with more than 50,000 pots of plants. myeongdong is seoul's main shopping district, popular with young people and tourists. after the korean war, the country's economy expanded rapidly, and so did the population of seoul. many department stores, shops, restaurants, and shopping centers set up businesses in the myeongdong area to keep up with this increasing demand. it is now estimated that the floating population of the district is up to two million people a day, and in terms of floorspace rents, myeongdong is one of the most expensive shopping areas in the world.follow @simoncroberts to see more photographs from this series and other works. #simonroberts #myeongdong #southkorea #seoul #urbanlandscapes"
36,36,0.0,0.7973999977111816,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area", the half moon rose around 11 p.m. while i slept out in the white desert. the bedrock here is composed of soft white chalk that has been sculpted by strong winds into strange and beautiful shapes. so excited to be back in egypt to do some paragliding. to see what i find follow @geosteinmetz
37,37,0.0,0.20000000298023224,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area"," tamina and alex organize a house warming party on reformation holiday in their new garden house in kleingartenverein schieããstand e.v. in hamburg. their neighbor bernd appears in the party with his halloween costume.october 31 is the reformation day observed as a public holiday in seven states in germany. it commemorates when german monk and theologian martin lutherâãâªs proposals were nailed on the doors of a church in 1517. this event was the start of religious and social changes in europe. on this holiday, adults and children in germany celebrate halloween and reformation day at the same time. #reformationday #halloween #germany #gardenhouse"
38,38,1.0,0.5629000067710876,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," mrs. kotajima, age 100, mrs. uehara, 84, and mrs. shimizu, 92 share their elder care home with companion puppy and baby seal robots. the popular science fiction of many cultures depicts the rise of robots as an ominous threat. but the japanese have long portrayed robots as friends and heroes and embrace humanoid robot technology. increasingly, the japanese are looking to robotic solutions for society's needs. on assignment for @natgeo in tokyo."
39,39,1.0,0.8849999904632568,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," chinese workers build the doraleh multipurpose port, which will be the largest of eight ports in djibouti and the site of china's first overseas military base. as the sun set over the red sea i watched as workers scrambled to construct this $590 million project, which is now complete. in djiboutiâãâªs capital, chinaâãâªs base is just a few kilometers from camp lemmonier, americaâãâªs largest military outpost in africa. flanked by yemen, eritrea, ethiopia and somalia, djibouti is viewed as a haven in the unstable horn of africa and hosts armed forces from around the world. #military #base #djibouti #china #nicholesobecki"
40,40,4.0,0.5837000012397766,"mountain, landform, area, wilder, ecosystem, highland, citi, grassland, natur, tree",
41,41,0.0,0.20000000298023224,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area",
42,42,4.0,0.6952999830245972,"mountain, landform, area, wilder, ecosystem, highland, citi, grassland, natur, tree",
43,43,4.0,0.7319999933242798,"mountain, landform, area, wilder, ecosystem, highland, citi, grassland, natur, tree"," amur tiger, russiaâãâªs far east - 95 percent of the global population is here. in 2005, the population consisted of 423 to 502 individuals, after having crashed in the 1940s to just 40 animals. by 2015, there were 540 of the tigers here. anti-poaching efforts have been integral to the rise in tiger numbers, with tougher punishments for the illegal trafficking of endangered animals and their parts. interestingly, and worryingly, a broad genetic sampling of 95 wild russian tigers found markedly low genetic diversity. this lack of diversity is becoming an increasing problem across a multitude of species as populations crash, and are then brought back from the brink of extinction. a lack of genetic diversity increases the odds that a species will be vulnerable to disease, among other things. #notrade #noextinction- to see more of my work and projects follow me here @chancellordavid"
44,44,0.0,0.48660001158714294,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area"," the moai of rapa nui (easter island) are some of the most iconic statues in the world. the heaviest erected statue weighs an astonishing 86 tons. nine hundred of the statues were erected between 1250 and 1500 one an island that is barely 15 miles long. there are no other inhabited islands for nearly 2,000 miles in any direction. sometime around 900 a.d., the founders of rapa nui set out from their home islands in polynesia in open-decked sailing canoes. they not only found this incredibly remote land, but then, guided only by the stars and their knowledge of the ocean, they returned to their homeland, packed up all that they would need to begin a new existence on rapa nui, and set out to find the island once again."
45,45,1.0,0.838100016117096,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," a cat passes through a sebil in the muslim quarter of the old city of jerusalem. one of six jerusalem fountains built by the ottomans to provide the cityâãâªs citizens with water for drinking and cleansing purposes, this sebil is located on hagai/al-wad street. its intricate beauty has always captivated my attention. #jerusalem #sebil #waterfountain"
46,46,3.0,0.8640999794006348,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass"," nomadic yak herder tshering and his son karma are leading a caravan from the village of laya, the highest settlement in the country, to paro, a valley town that is two days walking away. they use horses and mules to carry the bags with their equipment and goods for trading.  follow link in @ciriljazbec profile to read the @natgeo story published earlier this year."
47,47,2.0,0.6241000294685364,"geolog, rock, mountain, phenomenon, human, girl, cloud, format, landscap, atmospher", piazza del campo in sienaâããteaching siena workshop #sipaworkshop @thephotosociety @natgeoimagecollection
48,48,4.0,0.7592999935150146,"mountain, landform, area, wilder, ecosystem, highland, citi, grassland, natur, tree"," portrait of @diandraforrest in the park with her son. diandra has the rare genetic condition of albinism and has built a successful modeling career from her unique looks. however, many people with albinism are still severely discriminated against, and in some countries even attacked, because of their appearance. in the u.s., approximately one in 18,000 to 20,000 people have some type of albinism. in other parts of the world, the occurrence can be as high as one in 3,000. most children with albinism are born to parents who have typical hair and eye color for their ethnic backgrounds. to see more of my work on this issue and others, please #followme at @stephsinclairpix . #thefutureisinclusive #albinism #light #motherandchild #nyc"
49,49,2.0,0.5940999984741211,"geolog, rock, mountain, phenomenon, human, girl, cloud, format, landscap, atmospher"," it almost seems this little snake is saying, âããhey there! howâãâªs it going?âãâ of course, it actually meant something closer to, """"please leave me alone.âãâ many snakes are not aggressive as some people claim, but they are defensive. and, no, snakes donâãâªt chase people. not even cottonmouths. see video in my bio link @tbfrost's for proof. anyway, i remain grateful this beautiful black-skinned parrot snake stopped long enough for a picture as i continue my two-year-long project on snakes. want to see to see more snake portraits? head over to @tbfrost"
50,50,1.0,0.9103000164031982,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," with handheld lamps at dusk, an aboriginal artist and two of her friends collect tiny seashells for traditional aboriginal necklaces on cape barren island, off the northeast coast of tasmania, australia.no full-blooded tasmanian aborigines have survived mainly as a result of the brutal annihilation campaigns in the 19th century. today, an estimated 20,000 people in tasmania have aboriginal lineage, many of them living on the fourneaux islands (flinders and cape barren). @natgeocreative @thephotosociety #capebarren #tasmania #australia #aboriginal #seashells #dusk"
51,51,3.0,0.8988000154495239,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass"," ""i wish to go back to school, we had to leave our home in syria after it was destroyed in an airstrike, i still can remember the sound of the fighter jets in the sky, it was so scaryâãâ. manar, a 12-year-old syrian refugee girl from deir ez-zor whom i portrayed last september in a camp northwest of the greek capital. manarâãâªs portrait is part of my exhibition ""light on the move"", a selection of images showing the daily life and the challenges refugees face. the exhibition is currently displayed at museum of cycladic art in athens, greece, organized by @iomgreece. for more photos and videos of the refugee crisis follow me @mmuheisen @everydayrefugees and @mmuheisenpublic #everydayrefugees #muhammedmuheisen"
52,52,0.0,0.8371999859809875,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area"," sandy johnson and his son preston ride into the sunrise as they begin a long day of moving cattle for a branding just east of dark canyon inside what was briefly #bearsearsnationalmonument, utah. spending several days with sandy and his family helped me to better understand the perspective of local communities who fear monument status brings new restrictions on their way of life and added traffic from tourists. the family has been living inside of the one-time monument for decades, running cattle on hundreds of thousands of acres of public lands. this past summer through the drought they had to spend much of their time moving tens of thousands of gallons of water from a series of storage ponds, using an old pump truck, to move it to smaller water tanks deeper in. the ""battle for the american west"" is our current cover story and looks at how the fight over public lands is taking shape in utah, nevada, oregon, and beyond.  follow @argonautphoto for more images from both sides of the battle."
53,53,0.0,0.5999000072479248,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area"," anna kirichenko just moved into a new house in toretsk, eastern ukraine, together with her husband, andrey, and 3-year-old daughter, ksyusha. the family didnâãâªt move by choice, but by necessity. about a month ago they were having a barbecue in the back yard of their old house when a shell exploded in the garden. it was the final sign that the neighbourhood was too unsafe to stay in any longer. so they moved, but not far, only a few kilometers away. the place where they live now is a bit better, but not significantly safer. itâãâªs always hard for an outsider to understand why people, especially young middle-class people, keep living in war zones. the simple exercise in this case is to imagine that you have to leave your home tomorrow, forever, with only one suitcase or what you can fit in the car, and to try to answer all the questions that would arise. would your parents agree to go too, or will you have to leave them behind? what about grandparents? what are you going to do with your pets? it has been more than four years since the war in ukraine began. the front line is static and life around it is pretty normalâããor so it seems. people in conflict zones get used to danger. like everywhere else, they work, cook, have fun, fall in love, get married and raise children. text by alisa sopova @sopova.alisa, a ukrainian journalist from donetsk. #5kfromthefrontline"
54,54,1.0,0.5953999757766724,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," this male florida panther is traversing a cypress swamp on a cattle ranch not far from naples and miami. my goal is to connect people with wildlife hidden in their own backyards and inspire protection of the florida wildlife corridor needed for the endangered panther to recover into its historic territory in the northern everglades and beyond. i've been using camera traps to connect people with the #pathofthepanther, and this week i get to bring @univmiami students there for a #natgeounivmiami workshop on there as part of a two-day science and storytelling event, #natgeooncampus, which gives college-age students the opportunity to tackle the local and global issues facing our planet in collaboration with national geographic explorers. check the link in my bio for a list of inspiring speakers, and check out @insidenatgeo this friday and saturday for a behind-the-scenes look at the event, including my panel on the future of florida. #floridawild #keepflwild"
55,55,1.0,0.899399995803833,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," a female florida black bear sniffs the air while crossing a cypress strand in florida panther national wildlife refuge. these waters are part of the fakahatchee strand, which naturally drains the western everglades toward ten thousand islands national wildlife refuge and the gulf of mexico. four million acres of contiguous protected land in south florida provide key habitat for wide-ranging species, including bears and panthers. whether we protect enough of the florida wildlife corridor to keep the southern everglades connected to the northern everglades will determine whether the everglades watershed can be restored the endangered wildlife, such as the florida panther, will have access to enough land to recover. part of my #pathofthepanther project with @insidenatgeo. please follow @carltonward for more. #floridawild @fl_wildcorridor #keepflwild #bear #fakahatchee @ilcp_photographers @natgeoimagecollection"
